ParamID	pK	MeanBC	VarBC	BCmetric
1	0.001	0.809705117967555	0.00142927382659458	566.515039246732
2	0.005	0.855641473941941	0.000942642337122772	907.705330267274
3	0.01	0.82324875498695	0.00301451386634867	273.095030073327
4	0.02	0.780364371948735	0.00185083914467229	421.627332766894
5	0.03	0.763513412551965	0.00144948556007425	526.747857020979
6	0.04	0.772194769315369	0.00189145940997115	408.253418098539
7	0.05	0.743114279453265	0.00359321074321399	206.810658366388
8	0.06	0.708776627146131	0.00292129525065277	242.624098672585
9	0.07	0.663352019353205	0.00244829650335871	270.944315136333
10	0.08	0.629277925333542	0.00281273000394557	223.724966296381
11	0.09	0.607496232005101	0.00290642563408168	209.018329896834
12	0.1	0.596302631274607	0.00319444954968983	186.668351463715
13	0.11	0.587887734727501	0.00362615147119962	162.124428446177
14	0.12	0.575505962775314	0.00356506253715721	161.429415831292
15	0.13	0.565123657357361	0.00352300672579931	160.409474446616
16	0.14	0.551592541477413	0.00318173436159591	173.362222860347
17	0.15	0.545054945759234	0.00309833654583966	175.918573626585
18	0.16	0.540255846526157	0.00229269569268579	235.642195451273
19	0.17	0.540807861040974	0.00194533115690126	278.002981200605
20	0.18	0.545462961662002	0.00200757657414485	271.702194918443
21	0.19	0.554356274833603	0.00196654445599144	281.893589104815
22	0.2	0.567161406515058	0.00161680990892175	350.790407323331
23	0.21	0.577637113756179	0.00100291381248464	575.958877588026
24	0.22	0.589767399679322	0.00056888013493945	1036.71646003616
25	0.23	0.597901771431001	0.000274684952285797	2176.6819276249
26	0.24	0.599626470489156	0.000182493004862269	3285.75043707403
27	0.25	0.601312536735359	0.000379627263106633	1583.95509272593
28	0.26	0.599732335638855	0.000565387429627718	1060.745789898
29	0.27	0.596011821980531	0.000606804366213642	982.214128912002
30	0.28	0.588701896999937	0.000723344320593608	813.861227965159
31	0.29	0.583862806671757	0.000565851536392188	1031.83038150679
32	0.3	0.582680913767078	0.000419772709027475	1388.08669843503
