sample	Erythroid	Granulocyte	HSCs	Lympho-Myeloid	Megakaryocytic	Monocyte/Macrophage	B Lymphocyte	Lymphoid	T Lymphocyte
Euploid/GATA1s/iPSC/D7	888	1	556	7	7561	46	0	0	0
Euploid/wtGATA1/FL/W15	7644	450	3367	47	2489	708	34	183	4
Euploid/wtGATA1/FL/W15/D3	2179	324	4578	63	1122	618	1019	575	19
Euploid/wtGATA1/FL/W22	1217	188	2770	51	469	2459	902	1495	236
Euploid/wtGATA1/iPSC/D7	4653	0	623	0	7098	580	0	0	0
T21/FL/W16	7674	211	1838	18	1290	897	50	145	80
T21/GATA1s/TMD/22%	7481	30	54	0	2553	166	88	6	516
T21/GATA1s/TMD/68%	3347	20	83	1	4628	236	234	15	3192
T21/GATA1s/iPSC/D7	6410	0	222	0	5942	81	0	0	0
T21/wtGATA1/FL/W15	5102	534	1993	51	1881	1049	137	273	22
T21/wtGATA1/FL/W22	2547	578	1375	14	1439	1873	665	1440	298
T21/wtGATA1/iPSC/D7	2411	0	264	0	8392	61	0	0	0
